COD_DPTO,pobreza_hog,hogares_n,w_hog,pobreza_hog_%
5,0.19656929865977138,17933,2520020.9281517393,19.656929865977137
8,0.24920751755125425,10499,819289.0513367931,24.920751755125426
11,0.1600534370744457,10016,3070267.063246725,16.00534370744457
13,0.4010809861462562,11096,714571.5034729945,40.10809861462562
15,0.270484035589296,10462,487720.4891390714,27.0484035589296
17,0.15872071881655744,14808,388941.39909567224,15.872071881655744
18,0.3276088328221003,11016,159547.66598592832,32.76088328221003
19,0.3716863727623898,10944,549619.6975388941,37.16863727623898
20,0.39676942562294687,9472,438202.0937432312,39.676942562294684
23,0.42954364485595603,8272,588679.9617921173,42.954364485595605
25,0.17772926568002542,5871,1226913.7603699788,17.772926568002543
27,0.5384487969908226,10556,222482.73233599108,53.84487969908226
41,0.3497692371291173,10668,380579.02189115575,34.97692371291173
44,0.5967184427339607,9493,327516.92822712165,59.67184427339607
47,0.4360402112819983,10817,441292.3602926591,43.60402112819983
50,0.19335190815254333,12078,420172.682319102,19.335190815254332
52,0.3235892724300486,13392,600347.9964997313,32.35892724300486
54,0.28264529588437437,11055,554537.854883541,28.264529588437437
63,0.2092854086614185,12168,213763.18721212546,20.92854086614185
66,0.1900673762388035,14504,355820.50279555836,19.006737623880348
68,0.22333386111907844,14032,830171.4000415839,22.333386111907842
70,0.488054921953635,9891,305532.00508404936,48.8054921953635
73,0.3089081559915748,10023,501751.6282011522,30.890815599157477
76,0.2036329983727298,15991,1618278.1895238673,20.36329983727298
